3
1 2 3 4 3 4
2 3 5 6 4 2 1
2 -1
4
1 2 3 4 2 7 5 1
1 6 4 7 2 1
2 5 -1
3
1 2 3 4 3 4
2 3 5 6 4 2 1
1 2 3 4 3 4 0
2 3 5 6 4 2 1
1 2 3 4 3 4
2 3 5 6 4 2 1
1 2 3 4 3 4
2 3 5 6 4 2 1
1 2 3 4 3 4
2 3 5 6 4 2 1
1 2 3 4 3 4
2 3 5 6 4 2 1 -1
5
2 3 5 6 4 2 1
1 2 3 4 3 4
2 3 5 6 4 2 1
1 2 3 4 3 4
2 3 5 6 4 2 1
1 2 3 4 3 4
2 3 5 6 4 2 11
1 2 3 4 3 4 0
2 3 5 6 4 2 1
1 2 3 4 3 4
2 3 5 6 4 2 1
1
1 2 3 4 3 4 0
2 3 5 6 4 2 1
1 2 3 4 3 4
2 3 5 6 4 2 1
1
1 2 3 4 3 4 0
2 3 5 6 4 2 1 99
1 2 3 4 3 4
2 3 5 6 4 2 1
1
1 2 3 4 3 4 0
2 3 5 6 4 2 1
1 2 3 4 3 4
2 3 5 6 4 2 1
-1

6
23 84 45 6 2 3 33 6 4 3 2 7 7 77 90
3 4 5 6 7 8 9 0 1 2 3 87 43 22 3
23 84 45 6 2 3 33 6 4 3 2 7 7 77 90
3 4 5 6 7 8 9 0 1 2 3 87 43 22 3
23 84 45 6 2 3 33 6 4 3 2 7 7 77 90
3 4 5 6 7 8 9 0 1 2 3 87 43 22 3
23 84 45 6 2 3 33 6 4 3 2 7 7 77 90
3 4 5 6 7 8 9 0 1 2 3 87 43 22 3
23 84 45 6 2 3 33 6 4 3 2 7 7 77 90
3 4 5 6 7 8 9 0 1 2 3 87 43 22 3
23 84 45 6 2 3 33 6 4 3 2 7 7 77 90
3 4 5 6 7 8 9 0 1 2 3 87 43 22 3
23 84 45 6 2 3 33 6 4 3 2 7 7 77 90
3 4 5 6 7 8 9 0 1 2 3 87 43 22 3
23 84 45 6 2 3 33 6 4 3 2 7 7 77 90
3 4 5 6 7 8 9 0 1 2 3 87 43 22 3
23 84 45 6 2 3 33 6 4 3 2 7 7 77 90
3 4 5 6 7 8 9 0 1 2 3 87 43 22 3
23 84 45 6 2 3 33 6 4 3 2 7 7 77 90
3 4 5 6 7 8 9 0 1 2 3 87 43 22 3
23 84 45 6 2 3 33 6 4 3 2 7 7 77 90
3 4 5 6 7 8 9 0 1 2 3 87 43 22 3
23 84 45 6 2 3 33 6 4 3 2 7 7 77 90
3 4 5 6 7 8 9 0 1 2 3 87 43 22 3
23 84 45 6 2 3 33 6 4 3 2 7 7 77 90
3 4 5 6 7 8 9 0 1 2 3 87 43 22 3
23 84 45 6 2 3 33 6 4 3 2 7 7 77 90
3 4 5 6 7 8 9 0 1 2 3 87 43 22 3
23 84 45 6 2 3 33 6 4 3 2 7 7 77 90
3 4 5 6 7 8 9 0 1 2 3 87 43 22 3
23 84 45 6 2 3 33 6 4 3 2 7 7 77 90
3 4 5 6 7 8 9 0 1 2 3 87 43 22 3
23 84 45 6 2 3 33 6 4 3 2 7 7 77 90
3 4 5 6 7 8 9 0 1 2 3 87 43 22 3
23 84 45 6 2 3 33 6 4 3 2 7 7 77 90
3 4 5 6 7 8 9 0 1 2 3 87 43 22 3
23 84 45 6 2 3 33 6 4 3 2 7 7 77 90
3 4 5 6 7 8 9 0 1 2 3 87 43 22 3
23 84 45 6 2 3 33 6 4 3 2 7 7 77 90
3 4 5 6 7 8 9 0 1 2 3 87 43 22 3
